SN,Name
178,चौकुने गाउँपालिका
179,चौतारा साँगाचोकगढी नगरपालिका
180,चौदण्डीगढी नगरपालिका
181,चौरजहारी नगरपालिका
182,चौरपाटी गाउँपालिका
183,चौविसे गाउँपालिका
184,छत्रकोट गाउँपालिका
185,छत्रदेव गाउँपालिका
186,छत्रेश्वरी गाउँपालिका
187,छथर गाउँपालिका
188,छथर जोरपाटी गाउँपालिका
189,छबिसपाथिभेरा गाउँपालिका
190,छायाँनाथ रारा नगरपालिका
191,छार्का ताङसोङ गाउँपालिका
192,छिन्नमस्ता गाउँपालिका
193,छिपहरमाई गाउँपालिका
194,छेडागाड नगरपालिका
195,छेडेदह गाउँपालिका
196,जगदुल्ला गाउँपालिका
197,जगरनाथपुर गाउँपालिका
198,जनकनन्दिनी गाउँपालिका
199,जनकपुर उपमहानगरपालिका
200,जन्तेढुंगा गाउँपालिका
201,जयपृथ्वी नगरपालिका
202,जलजला गाउँपालिका
203,जलेश्वर नगरपालिका
204,जहदा गाउँपालिका
205,जानकी गाउँपालिका
206,जानकी गाउँपालिका
207,जिरी  नगरपालिका
208,जीतपुरसिमरा उपमहानगरपालिका
209,जुगल गाउँपालिका
210,जुनीचाँदे गाउँपालिका
211,जैमुनी नगरपालिका
212,जोरायल गाउँपालिका
213,जोशीपुर गाउँपालिका
214,ज्वालामूखी गाउँपालिका
215,झापा गाउँपालिका
216,झिमरुक गाउँपालिका
217,टिकापुर नगरपालिका
218,टोखा नगरपालिका
219,ट्याम्केमैयुम गाउँपालिका
220,ठाँटीकाँध गाउँपालिका
221,ठाकुरबाबा नगरपालिका
222,ठूली भेरी नगरपालिका
223,डाक्नेश्वरी नगरपालिका
224,डीलासैनी गाउँपालिका
225,डुंगेश्वर गाउँपालिका
226,डुडुवा गाउँपालिका
227,डोल्पो बुद्ध गाउँपालिका
228,ढकारी गाउँपालिका
229,ढोरचौर गाउँपालिका
230,ढोरपाटन नगरपालिका
231,तमानखोला गाउँपालिका
232,तलकोट गाउँपालिका
233,ताँजाकोट गाउँपालिका
234,तातोपानी गाउँपालिका
235,तादी गाउँपालिका
236,तानसेन नगरपालिका
237,ताप्ली गाउँपालिका
238,तामाकोशी  गाउँपालिका
239,तारकेश्वर गाउँपालिका
240,तारकेश्वर नगरपालिका
241,ताराखोला गाउँपालिका
242,तिनपाटन गाउँपालिका
243,तिनाउ गाउँपालिका
244,तिरहुत गाउँपालिका
245,तिला गाउँपालिका
246,तिलागुफा नगरपालिका
247,तिलाठी कोईलाडी गाउँपालिका
248,तिलोत्तमा नगरपालिका
249,तुम्वेवा गाउँपालिका
250,तुर्माखाँद गाउँपालिका
251,तुल्सिपुर उपमहानगरपालिका
252,तेमाल गाउँपालिका
253,त्रिपुरासुन्दरी गाउँपालिका
254,त्रिपुरासुन्दरी गाउँपालिका
255,त्रिपुरासुन्दरी नगरपालिका
256,त्रियुगा नगरपालिका
257,त्रिवेणी गाउँपालिका
258,त्रिवेणी गाउँपालिका
259,त्रिवेणी गाउँपालिका
260,त्रिवेणी नगरपालिका
261,त्रिवेणी नलगाड नगरपालिका
262,त्रिवेणी सुस्ता गाउँपालिका
263,थलारा गाउँपालिका
264,थवाङ गाउँपालिका
265,थाक्रे गाउँपालिका
266,थासाङ गाउँपालिका
267,थाहा नगरपालिका
268,दंगीशरण गाउँपालिका
269,दक्षिणकाली नगरपालिका
270,दमक नगरपालिका
271,दशरथचन्द नगरपालिका
272,दार्मा गाउँपालिका
273,दालोमे गाउँपालिका
274,दिपायल सिलगढी नगरपालिका
275,दिप्रुङ गाउँपालिका
276,दुईखोली गाउँपालिका
277,दुधकोशी गाउँपालिका
278,दुधकौशिका गाउँपालिका
279,दुधौली नगरपालिका
280,दुप्चेश्वर गाउँपालिका
281,दुर्गा भगवती गाउँपालिका
282,दुर्गाथली गाउँपालिका
283,दुल्लु नगरपालिका
284,दुहवी नगरपालिका
285,दुहुँ गाउँपालिका
286,दूधपोखरी गाउँपालिका
287,देउमाई नगरपालिका
288,देवघाट गाउँपालिका
289,देवचुली नगरपालिका
290,देवताल गाउँपालिका
291,देवदह नगरपालिका
292,देवानगन्ज गाउँपालिका
293,देवाही गोनाही गाउँपालिका
294,दोगडाकेदार गाउँपालिका
295,दोरम्बा गाउँपालिका
296,दोर्दी गाउँपालिका
297,धनकुटा नगरपालिका
298,धनकौल गाउँपालिका
299,धनगढी उपमहानगरपालिका
300,धनगढीमाई नगरपालिका
301,धनपालथान गाउँपालिका
302,धनुषाधाम नगरपालिका
303,धरान उपमहानगरपालिका
304,धर्मदेवी नगरपालिका
305,धवलागिरी गाउँपालिका
306,धार्चे गाउँपालिका
307,धुनीबेंशी नगरपालिका
308,धुर्कोट गाउँपालिका
309,धुलिखेल नगरपालिका
310,धोबीनी गाउँपालिका
311,नगराइन नगरपालिका
312,नमोबुद्ध नगरपालिका
313,नरहरिनाथ गाउँपालिका
314,नरहा गाउँपालिका
315,नरैनापुर गाउँपालिका
316,नवदुर्गा गाउँपालिका
317,नवराजपुर गाउँपालिका
318,नागार्जुन नगरपालिका
319,नाम्खा गाउँपालिका
320,नारफू गाउँपालिका
321,नारायण नगरपालिका
322,नाशोङ गाउँपालिका
323,निजगढ नगरपालिका
324,निलकण्ठ नगरपालिका
325,निसीखोला गाउँपालिका
326,निस्दी गाउँपालिका
327,नेचासल्यान गाउँपालिका
328,नेत्रावती गाउँपालिका
329,नेपालगंज उपमहानगरपालिका
330,नेस्याङ गाउँपालिका
331,नौकुण्ड गाउँपालिका
332,नौगाड गाउँपालिका
333,नौमुले गाउँपालिका
334,नौवहिनी गाउँपालिका
335,पकाहा मैनपुर गाउँपालिका
336,पचरौता गाउँपालिका
337,पचालझरना गाउँपालिका
338,पञ्चकन्या गाउँपालिका
339,पञ्चदेवल विनायक नगरपालिका
340,पञ्चपुरी नगरपालिका
341,पटेर्वा सुगौली गाउँपालिका
342,पथरी शनिश्चरे नगरपालिका
343,पनौती नगरपालिका
344,पन्चेश्वर गाउँपालिका
345,परवानीपुर गाउँपालिका
346,परशुराम नगरपालिका
347,परोहा गाउँपालिका
348,पर्सागढी गाउँपालिका
349,पलाता गाउँपालिका
350,पाँचखपन नगरपालिका
351,पाँचखाल नगरपालिका
352,पाँचपोखरी थाङपाल  गाउँपालिका
353,पाख्रिवास नगरपालिका
354,पाटन नगरपालिका
355,पाणिनी गाउँपालिका
356,पाण्डवगुफा गाउँपालिका
357,पातारासी गाउँपालिका
358,पार्वतीकुण्ड गाउँपालिका
359,पालुङटार नगरपालिका
360,पाल्हीनन्दन गाउँपालिका
361,पिपरा गाउँपालिका
362,पुतलीबजार नगरपालिका
363,पुथा उत्तरगंगा गाउँपालिका
364,पुनर्वास नगरपालिका
365,पुर्चौडी नगरपालिका
366,पूर्वखोला गाउँपालिका
367,पूर्वीचौकी गाउँपालिका
368,पैयूं गाउँपालिका
369,पोखरा लेखनाथ महानगरपालिका
370,पोखरिया नगरपालिका
371,पौवादुङमा गाउँपालिका
372,प्यूठान नगरपालिका
373,प्रतापपुर गाउँपालिका
374,प्रसौनी गाउँपालिका
375,फक्ताङलुङ गाउँपालिका
376,फतुवाबिजयपुर गाउँपालिका
377,फलेवास नगरपालिका
378,फाकफोकथुम गाउँपालिका
379,फालेलुङ गाउँपालिका
380,फाल्गुनन्द गाउँपालिका
381,फिक्कल गाउँपालिका
382,फिदिम नगरपालिका
383,फुङलिङ नगरपालिका
384,फेटा गाउँपालिका
385,फेदाप  गाउँपालिका
386,फेदीखोला गाउँपालिका
387,बंगलाचुली गाउँपालिका
388,बकैया गाउँपालिका
389,बगनासकाली गाउँपालिका
390,बटेश्वर गाउँपालिका
391,बडीकेदार गाउँपालिका
392,बडीमालिका नगरपालिका
393,बढैयाताल गाउँपालिका
394,बनगाड कुपिण्डे नगरपालिका
395,बनेपा नगरपालिका
396,बन्दिपुर गाउँपालिका
397,बबई गाउँपालिका
398,बरहथवा नगरपालिका
399,बराह नगरपालिका
400,बराहताल गाउँपालिका
401,बराहपोखरी गाउँपालिका
402,बरियारपट्टी गाउँपालिका
403,बर्जु गाउँपालिका
404,बर्दगोरीया गाउँपालिका
405,बर्दघाट नगरपालिका
406,बर्दिबास नगरपालिका
407,बलरा नगरपालिका
408,बलवा गाउँपालिका
409,बलेफी गाउँपालिका
410,बहुदरमाई गाउँपालिका
411,बाँफिकोट गाउँपालिका
412,बागचौर नगरपालिका
413,बागमती नगरपालिका
414,बागलुङ नगरपालिका
415,बाग्मती गाउँपालिका
416,बाग्मती गाउँपालिका
417,बाणगंगा नगरपालिका
418,बान्नीगढी जयगढ गाउँपालिका
419,बारबर्दिया नगरपालिका
420,बारागढी गाउँपालिका
421,बारेकोट गाउँपालिका
422,बासगढी नगरपालिका
423,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका
424,बाह्रदशी गाउँपालिका
425,बिन्दबासिनी गाउँपालिका
426,बिरगंज उपमहानगरपालिका
427,बिष्णुपुर गाउँपालिका
428,बीरेन्द्रनगर नगरपालिका
429,बुंगल नगरपालिका
430,बुङदीकाली गाउँपालिका
431,बुटवल उपमहानगरपालिका
432,बुढानिलकण्ठ नगरपालिका
433,बुढीगंगा गाउँपालिका
434,बुढीगंगा नगरपालिका
435,बुढीनन्दा नगरपालिका
436,बुद्धभूमी नगरपालिका
437,बुद्धशान्ति गाउँपालिका
438,बुलिङटार गाउँपालिका
439,बृन्दावन गाउँपालिका
440,बेथानचोक गाउँपालिका
441,बेनी  नगरपालिका
442,बेनीघाट रोराङ्ग गाउँपालिका
443,बेलकोटगढी नगरपालिका
444,बेलडाडी गाउँपालिका
445,बेलवा गाउँपालिका
446,बेलवारी नगरपालिका
447,बेलौरी नगरपालिका
448,बेल्ही चपेना गाउँपालिका
449,बेसीशहर नगरपालिका
450,बैजनाथ गाउँपालिका
451,बोगटान गाउँपालिका
452,बोदेबरसाईन नगरपालिका
453,बौधीमाई गाउँपालिका
454,ब्यास गाउँपालिका
455,ब्रह्मपुरी गाउँपालिका
456,भँगाहा गाउँपालिका
457,भक्तपुर नगरपालिका
458,भगवतीमाई गाउँपालिका
459,भगवानपुर गाउँपालिका
460,भजनी नगरपालिका
461,भद्रपुर नगरपालिका
462,भरतपुर महानगरपालिका
463,भागेश्वर गाउँपालिका
464,भानु नगरपालिका
465,भिमसेन गाउँपालिका
466,भिमाद नगरपालिका
467,भिमेश्वर  नगरपालिका
468,भिरकोट नगरपालिका
469,भीमदत्त नगरपालिका
470,भीमफेदी गाउँपालिका
471,भुम्लु गाउँपालिका
472,भूमिकास्थान नगरपालिका
473,भूमे गाउँपालिका
474,भेरी नगरपालिका
475,भेरीगंगा नगरपालिका
476,भैरवी गाउँपालिका
477,भोक्राहा गाउँपालिका
478,भोजपुर नगरपालिका
479,भोटखोला गाउँपालिका
480,भोटेकोशी गाउँपालिका
481,मंगलसेन नगरपालिका
482,मंगला गाउँपालिका
483,मकवानपुरगढी गाउँपालिका
484,मकालु गाउँपालिका
485,मटिहानी गाउँपालिका
486,मण्डनदेउपुर नगरपालिका
487,मदाने गाउँपालिका
488,मधुवन नगरपालिका
489,मध्यनेपाल नगरपालिका
490,मध्यपुर थिमी नगरपालिका
491,मध्यविन्दु नगरपालिका
492,मनरा गाउँपालिका
493,मनहरी गाउँपालिका
494,मन्थली नगरपालिका
495,मरिण गाउँपालिका
496,मर्चवारी गाउँपालिका
497,मर्स्याङदी गाउँपालिका
498,मलंगवा नगरपालिका
499,मल्लरानी गाउँपालिका
500,मष्टा गाउँपालिका
501,महाकाली नगरपालिका
502,महाकुलुङ गाउँपालिका
503,महागढीमाई नगरपालिका
504,महाङ्काल गाउँपालिका
505,महादेवा गाउँपालिका
506,महाभारत गाउँपालिका
507,महाराजगंज नगरपालिका
508,महालक्ष्मी नगरपालिका
509,महालक्ष्मी नगरपालिका
510,महावु गाउँपालिका
511,महावै गाउँपालिका
512,महाशिला गाउँपालिका
513,महोत्तरी गाउँपालिका
514,माई नगरपालिका
515,माईजोगमाई गाउँपालिका
516,माङसेबुङ गाउँपालिका
517,माछापुछ्रे गाउँपालिका
518,माडी गाउँपालिका
519,माडी नगरपालिका
520,माण्डवी गाउँपालिका
521,माथागढी गाउँपालिका
522,मादी गाउँपालिका
523,मादी नगरपालिका
524,माधव नारायण गाउँपालिका
525,मानेभञ्ज्याङ गाउँपालिका
526,मायादेवी गाउँपालिका
527,मायादेवी गाउँपालिका
528,मार्मा गाउँपालिका
529,मालारानी गाउँपालिका
530,मालिका गाउँपालिका
531,मालिका गाउँपालिका
532,मालिकार्जुन गाउँपालिका
533,माहाकाली नगरपालिका
534,मिक्लाजुङ गाउँपालिका
535,मिक्लाजुङ गाउँपालिका
536,मिक्वाखोला गाउँपालिका
537,मिथिला नगरपालिका
538,मिथिला बिहारी गाउँपालिका
539,मिर्चैया नगरपालिका
540,मुखियापट्टी मुसहरमिया गाउँपालिका
541,मुगुम कार्मारोंग गाउँपालिका
542,मुड्केचुला गाउँपालिका
543,मुसिकोट नगरपालिका
544,मुसिकोट नगरपालिका
545,मेघाङ गाउँपालिका
546,मेची नगर नगरपालिका
547,मेन्छयायेम गाउँपालिका
548,मेरिङदेन गाउँपालिका
549,मेलम्ची नगरपालिका
550,मेलुङ  गाउँपालिका
551,मेलौली नगरपालिका
552,मेल्लेख गाउँपालिका
553,मैवाखोला गाउँपालिका
554,मोदी गाउँपालिका
555,मोलुङ गाउँपालिका
556,मोहन्याल गाउँपालिका
557,मौलापुर गाउँपालिका
558,म्याग्दे गाउँपालिका
559,म्याङलुङ नगरपालिका
560,यसोधरा गाउँपालिका
561,याङवरक गाउँपालिका
562,याङवरक गाउँपालिका
563,रंगेली नगरपालिका
564,रघुगंगा गाउँपालिका
565,रतुवामाई नगरपालिका
566,रत्ननगर नगरपालिका
567,रम्भा गाउँपालिका
568,राक्सिराङ्ग गाउँपालिका
569,राजपुर गाउँपालिका
570,राजपुर गाउँपालिका
571,राजविराज नगरपालिका
572,राजापुर नगरपालिका
573,राप्ती गाउँपालिका
574,राप्ती नगरपालिका
575,राप्ती सोनारी गाउँपालिका
576,रामगोपालपुर गाउँपालिका
577,रामग्राम नगरपालिका
578,रामधुनी नगरपालिका
579,रामनगर गाउँपालिका
580,रामपुर नगरपालिका
581,रामप्रसाद राई गाउँपालिका
582,रामारोशन गाउँपालिका
583,रामेछाप नगरपालिका
584,रार्इनास नगरपालिका
585,रास्कोट नगरपालिका
586,रिब्दिकोट गाउँपालिका
587,रुन्टीगढी गाउँपालिका
588,रुपनी गाउँपालिका
589,रुपाकोट मजुवागढी नगरपालिका
590,रुरु गाउँपालिका
591,रुवी भ्याली गाउँपालिका
592,रूपा गाउँपालिका
593,रेसुङ्गा नगरपालिका
594,रैनादेवी छहरा गाउँपालिका
595,रोङ गाउँपालिका
596,रोल्पा नगरपालिका
597,रोशी गाउँपालिका
598,रोहिणी गाउँपालिका
599,रौतामाई गाउँपालिका
600,र्इन्द्रावती गाउँपालिका
601,लक्ष्मीनिया गाउँपालिका
602,लक्ष्मीपुर पतारी गाउँपालिका
603,लमही नगरपालिका
604,लम्की चुहा नगरपालिका
605,ललितपुर महानगरपालिका
606,लहान नगरपालिका
607,लामीडाँडा गाउँपालिका
608,लालझाँडी गाउँपालिका
609,लालबन्दी नगरपालिका
610,लालिगुँरास नगरपालिका
611,लिखु  गाउँपालिका
612,लिखु गाउँपालिका
613,लिखु गाउँपालिका
614,लिखु पिके गाउँपालिका
615,लिसंखु पाखर गाउँपालिका
616,लुङग्री गाउँपालिका
617,लुम्बिनी सांस्कृतिक नगरपालिका
618,लेकबेशी नगरपालिका
619,लेकम गाउँपालिका
620,लेटाङ नगरपालिका
621,लोमन्थाङ गाउँपालिका
622,लोहरपट्टी गाउँपालिका
623,वडिगाड गाउँपालिका
624,वरेङ गाउँपालिका
625,वालिङ नगरपालिका
626,वाह्रविसे नगरपालिका
627,विगु गाउँपालिका
628,विजयनगर गाउँपालिका
629,वित्थडचिर गाउँपालिका
630,विदुर नगरपालिका
631,विदेह नगरपालिका
632,विनयी गाउँपालिका
633,विराटनगर उपमहानगरपालिका
634,विरुवा गाउँपालिका
635,विर्तामोड नगरपालिका
636,विष्णु गाउँपालिका
637,विष्णुपुर गाउँपालिका
638,विहादी गाउँपालिका
639,वेदकोट नगरपालिका
640,वेलका  नगरपालिका
641,वैतेश्वर  गाउँपालिका
642,व्यास नगरपालिका
643,शङ्खरापुर नगरपालिका
644,शम्भुनाथ नगरपालिका
645,शहिद लखन गाउँपालिका
646,शहीदनगर नगरपालिका
647,शान्तिनगर गाउँपालिका
648,शारदा नगरपालिका
649,शिखर नगरपालिका
650,शिवनाथ गाउँपालिका
651,शिवपुरी गाउँपालिका
652,शिवराज नगरपालिका
653,शिवसताक्षि नगरपालिका
654,शिवालय गाउँपालिका
655,शुक्लागण्डकी नगरपालिका
656,शुद्धोधन गाउँपालिका
657,शुद्धोधन गाउँपालिका
658,शे फोक्सुन्डो गाउँपालिका
659,शैलुङ  गाउँपालिका
660,शैल्यशिखर नगरपालिका
661,षडानन्द नगरपालिका
662,सखुवा प्रसौनी गाउँपालिका
663,सखुवानान्कारकट्टी गाउँपालिका
664,सत्यवती गाउँपालिका
665,सन्दकपुर गाउँपालिका
666,सन्धिखर्क नगरपालिका
667,सप्तकोशी नगरपालिका
668,सबैला नगरपालिका
669,सभापोखरी गाउँपालिका
670,सम्मरीमाई गाउँपालिका
671,सरावल गाउँपालिका
672,सरुमारानी गाउँपालिका
673,सर्केगाड गाउँपालिका
674,साकेला गाउँपालिका
675,सागुरीगढी गाउँपालिका
676,सानीभेरी गाउँपालिका
677,सान्नी त्रिवेणी गाउँपालिका
678,साफेबगर नगरपालिका
679,साम्सी गाउँपालिका
680,सायल गाउँपालिका
681,साल्पासिलिछो गाउँपालिका
682,सिंजा गाउँपालिका
683,सिगास गाउँपालिका
684,सितगंगा नगरपालिका
685,सिदिङ्वा गाउँपालिका
686,सिद्दिचरण नगरपालिका
687,सिद्धलेक गाउँपालिका
688,सिद्धार्थनगर नगरपालिका
689,सिमकोट गाउँपालिका
690,सिम्ता गाउँपालिका
691,सिम्रौनगढ नगरपालिका
692,सियारी गाउँपालिका
693,सिरानचोक गाउँपालिका
694,सिराहा नगरपालिका
695,सिरीजङ्घा गाउँपालिका
696,सिलीचोङ गाउँपालिका
697,सिस्ने गाउँपालिका
698,सुकिदह गाउँपालिका
699,सुक्लाफाँटा नगरपालिका
700,सुखीपुर नगरपालिका
701,सुनकोशी गाउँपालिका
702,सुनकोशी गाउँपालिका
703,सुनकोशी गाउँपालिका
704,सुनकोशी गाउँपालिका
705,सुनछहरी गाउँपालिका
706,सुनवर्षी नगरपालिका
707,सुनवल नगरपालिका
708,सुनापती गाउँपालिका
709,सुन्दरबजार नगरपालिका
710,सुन्दरहरैंचा नगरपालिका
711,सुरुङ्‍गा नगरपालिका
712,सुर्नया गाउँपालिका
713,सुर्यगढी गाउँपालिका
714,सुलीकोट गाउँपालिका
715,सुवर्ण गाउँपालिका
716,सुवर्णपुर गाउँपालिका
717,सुवर्णावती गाउँपालिका
718,सूर्मा गाउँपालिका
719,सूर्यविनायक नगरपालिका
720,सूर्योदय नगरपालिका
721,सैनामैना नगरपालिका
722,सोताङ गाउँपालिका
723,सोनमा गाउँपालिका
724,सोरु गाउँपालिका
725,सोलु दुधकुण्ड नगरपालिका
726,स्वर्गद्वारी नगरपालिका
727,स्वामीकार्तिक गाउँपालिका
728,हंसपुर गाउँपालिका
729,हतुवागढी गाउँपालिका
730,हनुमाननगर कङ्‌कालिनी नगरपालिका
731,हरिनगरा गाउँपालिका
732,हरिपुर नगरपालिका
733,हरिपुर्वा नगरपालिका
734,हरिवन नगरपालिका
735,हरिहरपुरगढी गाउँपालिका
736,हरीनास गाउँपालिका
737,हलेसी तुवाचुङ नगरपालिका
738,हल्दीवारी गाउँपालिका
739,हिमा गाउँपालिका
740,हिमाली गाउँपालिका
741,हिलिहाङ गाउँपालिका
742,हुप्सेकोट गाउँपालिका
743,हेटौडा उपमहानगरपालिका
744,हेलम्बु  गाउँपालिका
